#1
double TVL(5456,2) # Time in h and T_VL in degC
14.864,19.13
14.868,19.14
14.869,19.13
14.87,19.14
14.883,19.15
14.884,19.14
14.886,19.15
14.887,19.14
14.888,19.15
14.893,19.16
14.894,19.15
14.903,19.17
14.904,19.16
14.905,19.17
14.912,19.18
14.917,19.19
14.918,19.18
14.919,19.19
14.92,19.18
14.921,19.19
14.923,19.18
14.927,19.2
14.928,19.19
14.937,19.21
14.938,19.2
14.939,19.21
14.946,19.22
14.947,19.21
14.954,19.23
14.955,19.22
14.956,19.23
14.957,19.22
14.964,19.24
14.966,19.23
14.967,19.24
14.972,19.25
14.973,19.24
14.981,19.26
14.988,19.27
14.991,19.26
14.996,19.28
14.997,19.27
14.998,19.28
14.999,19.27
15.007,19.29
15.009,19.28
15.012,19.29
15.014,19.3
15.017,19.29
15.025,19.31
15.026,19.3
15.033,19.32
15.042,19.33
15.043,19.32
15.05,19.34
15.051,19.33
15.053,19.34
15.059,19.35
15.061,19.34
15.063,19.35
15.069,19.36
15.07,19.35
15.071,19.36
15.078,19.37
15.079,19.36
15.08,19.37
15.082,19.38
15.089,19.37
15.095,19.39
15.096,19.38
15.104,19.4
15.105,19.39
15.111,19.41
15.112,19.4
15.113,19.41
15.122,19.42
15.126,19.41
15.127,19.42
15.13,19.43
15.14,19.44
15.149,19.45
15.15,19.44
15.151,19.45
15.152,19.44
15.153,19.45
15.157,19.46
15.158,19.45
15.159,19.46
15.166,19.47
15.174,19.48
15.175,19.47
15.176,19.48
15.179,19.47
15.186,19.49
15.19,19.48
15.194,19.5
15.201,19.51
15.211,19.5
15.213,19.52
15.215,19.51
15.221,19.53
15.222,19.52
15.223,19.53
15.229,19.54
15.233,19.53
15.239,19.55
15.246,19.54
15.25,19.56
15.257,19.57
15.261,19.56
15.262,19.57
15.263,19.56
15.266,19.58
15.274,19.59
15.275,19.58
15.276,19.59
15.285,19.6
15.286,19.59
15.294,19.61
15.311,19.62
15.312,19.61
15.313,19.62
15.314,19.61
15.315,19.62
15.317,19.61
15.323,19.63
15.325,19.62
15.327,19.63
15.332,19.64
15.334,19.63
15.335,19.64
15.341,19.65
15.344,19.64
15.345,19.61
15.346,19.6
15.348,19.58
15.349,19.61
15.35,19.62
15.351,19.65
15.352,19.7
15.353,19.71
15.354,19.76
15.355,19.82
15.356,19.87
15.357,19.95
15.358,20.01
15.359,20.09
15.36,20.14
15.361,20.12
15.362,20.11
15.363,20.08
15.364,20.01
15.365,19.92
15.366,19.84
15.367,19.74
15.368,19.67
15.369,19.57
15.37,19.48
15.371,19.41
15.372,19.32
15.373,19.25
15.374,19.14
15.375,19.05
15.376,18.98
15.377,18.89
15.378,18.83
15.379,18.74
15.38,18.65
15.381,18.61
15.382,18.54
15.383,18.48
15.384,18.42
15.385,18.36
15.386,18.32
15.387,18.26
15.388,18.24
15.389,18.17
15.39,18.08
15.391,18.01
15.392,17.89
