#1
double Tamb(6052,2) # Time in h and Tamb in degC
14.864,21.8558
14.866,21.8558
14.867,21.8436
14.869,21.8558
14.871,21.8436
14.872,21.9535
14.873,21.8558
14.874,21.8925
14.876,21.7948
14.877,21.8558
14.878,21.7948
14.879,21.8436
14.884,21.8925
14.885,21.8558
14.886,21.8925
14.887,21.8436
14.888,21.8558
14.889,21.7948
14.89,21.8436
14.893,21.8558
14.894,21.8436
14.895,21.8925
14.897,21.8436
14.898,21.8558
14.899,21.8436
14.901,21.8558
14.902,21.8436
14.903,21.8558
14.904,21.8436
14.906,21.8558
14.907,21.8436
14.908,21.8558
14.909,21.8925
14.91,21.8436
14.912,21.7948
14.913,21.8436
14.915,21.8558
14.916,21.807
14.917,21.8558
14.919,21.8436
14.92,21.8925
14.921,21.8436
14.923,21.9413
14.924,21.8436
14.925,21.8558
14.926,21.8436
14.927,21.8558
14.928,21.8925
14.929,21.8436
14.93,21.9413
14.931,21.8436
14.934,21.7948
14.935,21.8925
14.937,21.8436
14.939,21.9413
14.94,21.868
14.941,21.8436
14.942,21.8925
14.943,21.8436
14.948,21.8925
14.951,21.8558
14.952,21.9413
14.953,21.7948
14.954,21.8436
14.959,21.8558
14.961,21.8436
14.966,21.8925
14.967,21.8436
14.968,21.8558
14.971,21.8925
14.972,21.8558
14.975,21.8436
14.976,21.8925
14.977,21.8436
14.978,21.9291
14.98,21.8436
14.981,21.8925
14.982,21.8558
14.983,21.8925
14.985,21.9413
14.986,21.8558
14.987,21.9413
14.988,21.8436
14.989,21.8925
14.99,21.9535
14.991,21.8925
14.992,21.9413
14.993,21.8558
14.994,21.9413
14.996,21.8558
14.998,21.9413
15,21.8436
15.002,21.8558
15.003,21.9413
15.004,21.9535
15.005,21.8925
15.006,21.9413
15.007,21.9047
15.008,21.9413
15.011,21.8436
15.012,21.9413
15.013,21.8558
15.014,21.8436
15.018,21.9413
15.019,21.8436
15.022,21.9413
15.023,21.9535
15.024,21.8436
15.03,21.9413
15.031,21.8925
15.033,21.9535
15.034,21.9413
15.035,21.9047
15.036,21.9413
15.038,21.8925
15.04,21.9535
15.041,21.9413
15.045,21.9535
15.047,21.9901
15.048,21.9413
15.049,21.9535
15.05,21.9413
15.051,21.9535
15.053,21.9413
15.054,21.9047
15.055,21.9535
15.056,21.8925
15.058,21.9413
15.062,21.8925
15.063,21.9413
15.069,21.9901
15.071,21.9413
15.076,21.9535
15.077,21.8925
15.078,21.9535
15.081,21.868
15.082,21.9291
15.083,21.8925
15.084,21.9413
15.085,21.9535
15.088,21.9413
15.09,21.9535
15.091,21.9413
15.092,21.9535
15.093,21.8558
15.094,21.9535
15.096,21.8925
15.097,21.9413
15.098,21.9535
15.099,21.9413
15.1,21.9535
15.101,21.8925
15.102,21.9413
15.103,21.9535
15.105,21.8925
15.106,21.9413
15.107,21.9901
15.108,21.9413
15.111,21.9535
15.112,21.9413
15.113,21.9535
15.114,21.9413
15.115,21.8925
15.116,21.9413
15.121,21.9535
15.122,21.8925
15.123,21.9413
15.126,21.9535
15.128,21.8925
15.13,21.9413
15.131,21.8925
15.132,21.9413
15.134,21.9047
15.135,21.9535
15.137,21.9901
15.138,21.8925
15.139,21.9535
15.14,21.9413
15.142,21.8925
15.143,21.9413
15.146,21.8925
15.147,21.9413
15.148,21.8925
15.149,21.9413
15.15,21.9535
15.154,21.9413
15.155,21.8925
15.156,21.9413
15.157,21.9901
15.159,21.9535
15.16,21.9901
15.161,21.8925
15.162,21.9413
15.163,21.8925
15.164,21.9413
15.165,21.9535
15.167,21.9413
15.168,21.9535
15.169,21.9413
15.171,21.8925
15.172,21.9535
15.174,21.9047
15.175,21.9413
15.176,21.9535
15.178,21.8925
15.179,21.9535
15.18,21.9901
15.181,21.9413
15.183,21.9535
15.185,21.9413
15.186,21.8925
15.187,21.9413
15.189,21.9047
15.19,21.8925
15.191,21.9535
15.192,21.9413
15.193,21.8925
15.194,21.9901
15.195,21.9413
15.196,21.9535
15.197,21.9413
15.198,21.9901
15.199,21.9535
15.2,21.9901
15.201,21.9413
15.203,21.9901
15.204,21.9413
15.205,21.9901
15.206,22.0389
15.208,21.9413
15.21,21.9535
15.211,21.9901
