#1
double vflow(202,2) # Time in h and vflow in m3/h"
14.864,0
15.237,0
15.356,0.04
15.359,0.16
15.362,0.2
15.412,0.17
15.415,0.2
15.42,0.2
15.426,0.19
15.434,0.14
15.437,0.16
15.443,0.15
15.448,0.2
15.454,0.16
15.456,0.19
15.459,0.17
15.462,0.18
15.465,0.17
15.476,0.16
15.481,0.17
15.506,0.18
15.512,0.17
15.529,0.16
15.537,0.17
15.54,0.16
15.543,0.17
15.545,0.16
15.57,0.17
15.573,0.15
15.576,0.16
15.584,0.14
15.59,0.16
15.598,0.15
15.601,0.16
15.62,0.15
15.626,0.16
15.634,0.17
15.637,0.16
15.64,0.15
15.643,0.17
15.648,0.16
15.651,0.17
15.654,0.15
15.656,0.16
15.659,0.15
15.668,0.16
15.67,0.17
15.676,0.16
15.681,0.17
15.709,0.18
15.715,0.17
15.72,0.19
15.723,0.17
15.734,0.18
15.737,0.17
15.74,0.18
15.743,0.17
15.748,0.18
15.751,0.19
15.759,0.18
15.762,0.19
15.765,0.18
15.768,0.19
15.773,0.18
15.784,0.19
15.787,0.18
15.79,0.19
15.834,0.18
15.848,0.19
15.851,0.18
15.854,0.19
15.865,0.18
15.868,0.19
16.187,0.2
16.19,0.19
16.195,0.2
16.198,0.19
16.234,0.2
16.24,0.19
16.259,0.2
16.268,0.19
16.29,0.2
16.293,0.19
16.362,0.18
16.37,0.19
16.381,0.18
16.387,0.19
16.434,0.2
16.437,0.19
16.44,0.2
16.443,0.19
16.456,0.2
16.47,0.19
16.484,0.2
16.49,0.19
16.495,0.2
16.498,0.19
16.506,0.2
16.512,0.19
16.515,0.2
16.54,0.19
16.554,0.2
16.556,0.19
16.562,0.2
16.659,0.19
16.665,0.2
16.723,0.19
16.737,0.2
16.74,0.19
16.751,0.2
16.756,0.19
16.795,0.2
16.798,0.19
16.801,0.2
16.809,0.19
16.815,0.2
16.898,0.19
16.904,0.2
16.906,0.19
16.909,0.2
16.918,0.19
16.92,0.2
16.926,0.19
16.931,0.2
16.934,0.19
16.937,0.2
16.959,0.19
16.965,0.2
16.97,0.19
16.976,0.2
16.987,0.19
17.018,0.2
17.023,0.19
18.748,0.2
18.762,0.19
18.765,0.2
18.776,0.19
18.798,0.2
18.82,0.19
18.823,0.2
18.834,0.19
18.84,0.2
18.856,0.19
18.934,0.2
18.943,0.19
18.959,0.2
18.962,0.19
19.131,0.2
19.134,0.19
19.162,0.2
19.181,0.19
19.193,0.2
19.195,0.19
19.209,0.2
19.229,0.19
19.237,0.2
19.243,0.19
19.248,0.2
19.376,0.19
19.39,0.2
19.401,0.19
19.415,0.2
19.42,0.19
19.429,0.2
19.431,0.19
19.448,0.2
19.451,0.19
19.454,0.2
19.459,0.19
19.462,0.2
19.498,0.19
19.501,0.2
19.504,0.19
19.662,0.2
19.668,0.19
19.709,0.2
19.712,0.19
19.723,0.2
20.143,0.19
20.151,0.2
20.17,0.19
20.179,0.2
20.181,0.19
20.19,0.2
20.193,0.19
20.198,0.2
20.201,0.19
20.223,0.2
20.226,0.19
20.243,0.2
20.245,0.19
20.248,0.2
20.262,0.19
20.265,0.2
20.268,0.19
20.306,0.2
20.326,0.19
20.334,0.2
20.337,0.19
20.343,0.2
20.345,0.19
20.35,0
